병원명,주소,전화번호,거리(km),운영시간
연세대학교의과대학강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,1.86,0830 ~ 1730
삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",02-3410-2114,2.29,0830 ~ 1530
혜민병원,서울특별시 광진구 자양로 85 (자양동),02-2049-9000,4.24,0830 ~ 1730
건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),1588-1533,4.57,0830 ~ 1730
재단법인아산사회복지재단서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",02-3010-3114,4.8,0830 ~ 1730
경찰병원,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",02-3400-1114,5.16,0900 ~ 1730
학교법인가톨릭학원가톨릭대학교서울성모병원,서울특별시 서초구 반포대로 222 (반포동),0215881511,5.34,0800 ~ 1700
순천향대학교 부속 서울병원,서울특별시 용산구 대사관로 59 (한남동),02-709-9114,6.55,0900 ~ 1700
한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),02-2290-8114,6.89,0830 ~ 1730
성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),02-2224-2114,7.35,0830 ~ 1730
